RK,Team,Total PointsPTS,date
22,MexicoMEX,898,2/4/2016
23,RussiaRUS,895,2/4/2016
24,FranceFRA,868,2/4/2016
25,SlovakiaSVK,860,2/4/2016
25,Czech RepublicCZE,860,2/4/2016
27,UkraineUKR,842,2/4/2016
28,Côte d'IvoireCIV,828,2/4/2016
29,Northern IrelandNIR,825,2/4/2016
30,Republic of IrelandIRL,810,2/4/2016
31,Costa RicaCRC,799,2/4/2016
32,USAUSA,793,2/4/2016
33,Cape Verde IslandsCPV,790,2/4/2016
34,PolandPOL,787,2/4/2016
35,SwedenSWE,771,2/4/2016
36,AlbaniaALB,746,2/4/2016
36,AlgeriaALG,746,2/4/2016
38,IcelandISL,724,2/4/2016
39,GreeceGRE,706,2/4/2016
40,DenmarkDEN,692,2/4/2016
41,GhanaGHA,691,2/4/2016
42,ParaguayPAR,652,2/4/2016
43,PeruPER,644,2/4/2016
44,IR IranIRN,626,2/4/2016
45,SenegalSEN,621,2/4/2016
46,ScotlandSCO,609,2/4/2016
47,FinlandFIN,606,2/4/2016
48,TunisiaTUN,603,2/4/2016
49,Trinidad and TobagoTRI,598,2/4/2016
50,NorwayNOR,597,2/4/2016
1,BelgiumBEL,1506,3/3/2016
2,ArgentinaARG,1457,3/3/2016
3,SpainESP,1374,3/3/2016
4,GermanyGER,1355,3/3/2016
5,ChileCHI,1307,3/3/2016
6,BrazilBRA,1254,3/3/2016
7,PortugalPOR,1234,3/3/2016
8,ColombiaCOL,1215,3/3/2016
9,EnglandENG,1112,3/3/2016
10,AustriaAUT,1095,3/3/2016
11,UruguayURU,1082,3/3/2016
12,SwitzerlandSUI,1070,3/3/2016
13,EcuadorECU,1039,3/3/2016
14,ItalyITA,999,3/3/2016
15,NetherlandsNED,997,3/3/2016
16,RomaniaROU,990,3/3/2016
17,WalesWAL,984,3/3/2016
18,CroatiaCRO,965,3/3/2016
19,HungaryHUN,951,3/3/2016
20,TurkeyTUR,943,3/3/2016
21,Bosnia and HerzegovinaBIH,917,3/3/2016
22,MexicoMEX,902,3/3/2016
23,RussiaRUS,892,3/3/2016
24,FranceFRA,871,3/3/2016
25,Czech RepublicCZE,861,3/3/2016
26,SlovakiaSVK,858,3/3/2016
27,UkraineUKR,845,3/3/2016
28,Northern IrelandNIR,833,3/3/2016
29,Republic of IrelandIRL,809,3/3/2016
30,USAUSA,792,3/3/2016
31,Cape Verde IslandsCPV,789,3/3/2016
31,PolandPOL,789,3/3/2016
33,Costa RicaCRC,784,3/3/2016
34,SwedenSWE,769,3/3/2016
35,AlbaniaALB,754,3/3/2016
36,Côte d'IvoireCIV,744,3/3/2016
37,AlgeriaALG,743,3/3/2016
38,IcelandISL,741,3/3/2016
39,GreeceGRE,718,3/3/2016
40,DenmarkDEN,706,3/3/2016
41,GhanaGHA,656,3/3/2016
42,PeruPER,646,3/3/2016
43,ParaguayPAR,642,3/3/2016
44,IR IranIRN,627,3/3/2016
45,ScotlandSCO,617,3/3/2016
46,FinlandFIN,615,3/3/2016
47,TunisiaTUN,609,3/3/2016
48,SenegalSEN,603,3/3/2016
49,Trinidad and TobagoTRI,598,3/3/2016
50,SerbiaSRB,596,3/3/2016
1,ArgentinaARG,1532,4/7/2016
2,BelgiumBEL,1352,4/7/2016
3,ChileCHI,1348,4/7/2016
4,ColombiaCOL,1337,4/7/2016
5,GermanyGER,1309,4/7/2016
6,SpainESP,1277,4/7/2016
7,BrazilBRA,1251,4/7/2016
8,PortugalPOR,1184,4/7/2016
9,UruguayURU,1158,4/7/2016
10,EnglandENG,1069,4/7/2016
11,AustriaAUT,1067,4/7/2016
12,EcuadorECU,1019,4/7/2016
13,TurkeyTUR,983,4/7/2016
14,SwitzerlandSUI,974,4/7/2016
15,ItalyITA,959,4/7/2016
16,MexicoMEX,934,4/7/2016
17,NetherlandsNED,931,4/7/2016
18,HungaryHUN,925,4/7/2016
19,RomaniaROU,922,4/7/2016
20,Bosnia and HerzegovinaBIH,913,4/7/2016
21,FranceFRA,907,4/7/2016
22,UkraineUKR,880,4/7/2016
23,CroatiaCRO,856,4/7/2016
24,WalesWAL,839,4/7/2016
25,Costa RicaCRC,826,4/7/2016
26,Northern IrelandNIR,825,4/7/2016
27,PolandPOL,821,4/7/2016
27,RussiaRUS,821,4/7/2016
29,Czech RepublicCZE,810,4/7/2016
29,USAUSA,810,4/7/2016
31,Republic of IrelandIRL,792,4/7/2016
32,SlovakiaSVK,784,4/7/2016
33,AlgeriaALG,771,4/7/2016
34,Côte d'IvoireCIV,738,4/7/2016
35,IcelandISL,724,4/7/2016
36,SwedenSWE,713,4/7/2016
37,GreeceGRE,695,4/7/2016
38,GhanaGHA,693,4/7/2016
39,ParaguayPAR,690,4/7/2016
40,ScotlandSCO,687,4/7/2016
41,DenmarkDEN,686,4/7/2016
42,IR IranIRN,672,4/7/2016
43,SenegalSEN,651,4/7/2016
44,EgyptEGY,648,4/7/2016
45,AlbaniaALB,632,4/7/2016
46,PeruPER,625,4/7/2016
47,Cape Verde IslandsCPV,620,4/7/2016
47,TunisiaTUN,620,4/7/2016
49,NorwayNOR,605,4/7/2016
50,AustraliaAUS,601,4/7/2016
1,ArgentinaARG,1532,5/5/2016
2,BelgiumBEL,1364,5/5/2016
3,ChileCHI,1353,5/5/2016
4,ColombiaCOL,1337,5/5/2016
5,GermanyGER,1309,5/5/2016
6,SpainESP,1277,5/5/2016
7,BrazilBRA,1261,5/5/2016
8,PortugalPOR,1184,5/5/2016
9,UruguayURU,1158,5/5/2016
10,EnglandENG,1069,5/5/2016
11,AustriaAUT,1067,5/5/2016
12,EcuadorECU,1019,5/5/2016
13,TurkeyTUR,983,5/5/2016
14,SwitzerlandSUI,974,5/5/2016
15,ItalyITA,959,5/5/2016
16,MexicoMEX,938,5/5/2016
17,NetherlandsNED,931,5/5/2016
18,HungaryHUN,925,5/5/2016
19,RomaniaROU,920,5/5/2016
20,Bosnia and HerzegovinaBIH,913,5/5/2016
21,FranceFRA,907,5/5/2016
22,UkraineUKR,880,5/5/2016
23,CroatiaCRO,856,5/5/2016
24,WalesWAL,839,5/5/2016
25,Costa RicaCRC,829,5/5/2016
26,Northern IrelandNIR,825,5/5/2016
27,PolandPOL,821,5/5/2016
27,RussiaRUS,821,5/5/2016
29,USAUSA,810,5/5/2016
29,Czech RepublicCZE,810,5/5/2016
31,Republic of IrelandIRL,792,5/5/2016
32,SlovakiaSVK,784,5/5/2016
33,AlgeriaALG,771,5/5/2016
34,Côte d'IvoireCIV,738,5/5/2016
35,IcelandISL,724,5/5/2016
36,SwedenSWE,713,5/5/2016
37,GreeceGRE,695,5/5/2016
38,GhanaGHA,693,5/5/2016
39,ParaguayPAR,688,5/5/2016
40,ScotlandSCO,687,5/5/2016
41,DenmarkDEN,686,5/5/2016
42,IR IranIRN,672,5/5/2016
43,SenegalSEN,651,5/5/2016
44,EgyptEGY,648,5/5/2016
45,AlbaniaALB,632,5/5/2016
46,PeruPER,631,5/5/2016
47,Cape Verde IslandsCPV,620,5/5/2016
47,TunisiaTUN,620,5/5/2016
49,NorwayNOR,605,5/5/2016
50,AustraliaAUS,601,5/5/2016
1,ArgentinaARG,1503,6/2/2016
2,BelgiumBEL,1384,6/2/2016
3,ColombiaCOL,1328,6/2/2016
4,GermanyGER,1310,6/2/2016
5,ChileCHI,1293,6/2/2016
6,SpainESP,1267,6/2/2016
7,BrazilBRA,1257,6/2/2016
8,PortugalPOR,1181,6/2/2016
9,UruguayURU,1150,6/2/2016
10,AustriaAUT,1077,6/2/2016
11,EnglandENG,1069,6/2/2016
12,ItalyITA,982,6/2/2016
13,EcuadorECU,978,6/2/2016
14,NetherlandsNED,959,6/2/2016
15,SwitzerlandSUI,948,6/2/2016
16,MexicoMEX,942,6/2/2016
17,FranceFRA,925,6/2/2016
18,TurkeyTUR,919,6/2/2016
19,UkraineUKR,894,6/2/2016
20,HungaryHUN,886,6/2/2016
20,Bosnia and HerzegovinaBIH,886,6/2/2016
22,RomaniaROU,878,6/2/2016
23,Costa RicaCRC,853,6/2/2016
24,SlovakiaSVK,852,6/2/2016
25,Northern IrelandNIR,851,6/2/2016
26,WalesWAL,846,6/2/2016
27,CroatiaCRO,842,6/2/2016
27,PolandPOL,842,6/2/2016
29,RussiaRUS,828,6/2/2016
30,Czech RepublicCZE,815,6/2/2016
31,USAUSA,803,6/2/2016
32,AlgeriaALG,786,6/2/2016
33,Republic of IrelandIRL,768,6/2/2016
34,IcelandISL,751,6/2/2016
35,SwedenSWE,735,6/2/2016
36,Côte d'IvoireCIV,732,6/2/2016
37,GhanaGHA,728,6/2/2016
38,DenmarkDEN,697,6/2/2016
39,IR IranIRN,688,6/2/2016
40,GreeceGRE,678,6/2/2016
41,SenegalSEN,677,6/2/2016
42,AlbaniaALB,667,6/2/2016
43,ScotlandSCO,659,6/2/2016
44,ParaguayPAR,638,6/2/2016
45,EgyptEGY,631,6/2/2016
46,JamaicaJAM,630,6/2/2016
47,TunisiaTUN,629,6/2/2016
48,PeruPER,623,6/2/2016
49,Cape Verde IslandsCPV,620,6/2/2016
50,Korea RepublicKOR,603,6/2/2016
1,ArgentinaARG,1585,7/14/2016
2,BelgiumBEL,1401,7/14/2016
3,ColombiaCOL,1331,7/14/2016
4,GermanyGER,1319,7/14/2016
5,ChileCHI,1316,7/14/2016
6,PortugalPOR,1266,7/14/2016
7,FranceFRA,1189,7/14/2016
8,SpainESP,1165,7/14/2016
9,BrazilBRA,1156,7/14/2016
10,ItalyITA,1155,7/14/2016
11,WalesWAL,1137,7/14/2016
12,UruguayURU,1130,7/14/2016
13,EnglandENG,1107,7/14/2016
14,MexicoMEX,1044,7/14/2016
15,CroatiaCRO,1022,7/14/2016
16,PolandPOL,1011,7/14/2016
17,EcuadorECU,1002,7/14/2016
18,SwitzerlandSUI,957,7/14/2016
19,TurkeyTUR,915,7/14/2016
19,HungaryHUN,915,7/14/2016
21,AustriaAUT,875,7/14/2016
22,IcelandISL,871,7/14/2016
23,SlovakiaSVK,867,7/14/2016
24,RomaniaROU,856,7/14/2016
25,USAUSA,855,7/14/2016
26,NetherlandsNED,848,7/14/2016
27,Costa RicaCRC,840,7/14/2016
28,Northern IrelandNIR,822,7/14/2016
29,Bosnia and HerzegovinaBIH,813,7/14/2016
30,UkraineUKR,801,7/14/2016
31,Republic of IrelandIRL,800,7/14/2016
32,AlgeriaALG,781,7/14/2016
33,Czech RepublicCZE,768,7/14/2016
34,PeruPER,765,7/14/2016
35,Côte d'IvoireCIV,751,7/14/2016
36,GhanaGHA,749,7/14/2016
37,AlbaniaALB,739,7/14/2016
38,RussiaRUS,728,7/14/2016
39,IR IranIRN,674,7/14/2016
40,SwedenSWE,656,7/14/2016
41,SenegalSEN,651,7/14/2016
42,ParaguayPAR,636,7/14/2016
43,EgyptEGY,632,7/14/2016
44,DenmarkDEN,630,7/14/2016
45,TunisiaTUN,627,7/14/2016
46,VenezuelaVEN,621,7/14/2016
47,SerbiaSRB,612,7/14/2016
48,Korea RepublicKOR,592,7/14/2016
49,NorwayNOR,588,7/14/2016
50,ScotlandSCO,584,7/14/2016
1,ArgentinaARG,1585,8/11/2016
2,BelgiumBEL,1401,8/11/2016
3,ColombiaCOL,1331,8/11/2016
4,GermanyGER,1319,8/11/2016
5,ChileCHI,1316,8/11/2016
6,PortugalPOR,1266,8/11/2016
7,FranceFRA,1189,8/11/2016
8,SpainESP,1165,8/11/2016
9,BrazilBRA,1156,8/11/2016
10,ItalyITA,1155,8/11/2016
11,WalesWAL,1137,8/11/2016
12,UruguayURU,1130,8/11/2016
13,EnglandENG,1107,8/11/2016
14,MexicoMEX,1042,8/11/2016
15,CroatiaCRO,1022,8/11/2016
16,PolandPOL,1011,8/11/2016
17,EcuadorECU,1002,8/11/2016
18,SwitzerlandSUI,957,8/11/2016
19,TurkeyTUR,915,8/11/2016
19,HungaryHUN,915,8/11/2016
21,Costa RicaCRC,883,8/11/2016
22,AustriaAUT,875,8/11/2016
23,IcelandISL,871,8/11/2016
24,SlovakiaSVK,867,8/11/2016
25,RomaniaROU,856,8/11/2016
26,NetherlandsNED,848,8/11/2016
26,USAUSA,848,8/11/2016
28,Northern IrelandNIR,822,8/11/2016
29,Bosnia and HerzegovinaBIH,813,8/11/2016
30,UkraineUKR,801,8/11/2016
31,Republic of IrelandIRL,800,8/11/2016
32,AlgeriaALG,781,8/11/2016
33,PeruPER,777,8/11/2016
34,Czech RepublicCZE,768,8/11/2016
35,GhanaGHA,749,8/11/2016
36,Côte d'IvoireCIV,748,8/11/2016
37,AlbaniaALB,739,8/11/2016
38,RussiaRUS,728,8/11/2016
39,IR IranIRN,674,8/11/2016
40,SwedenSWE,656,8/11/2016
41,SenegalSEN,654,8/11/2016
42,ParaguayPAR,636,8/11/2016
43,EgyptEGY,632,8/11/2016
44,DenmarkDEN,630,8/11/2016
45,TunisiaTUN,627,8/11/2016
46,VenezuelaVEN,621,8/11/2016
47,SerbiaSRB,612,8/11/2016
48,Korea RepublicKOR,609,8/11/2016
49,JapanJPN,595,8/11/2016
50,NorwayNOR,588,8/11/2016
1,ArgentinaARG,1646,9/15/2016
2,BelgiumBEL,1369,9/15/2016
3,GermanyGER,1347,9/15/2016
4,ColombiaCOL,1323,9/15/2016
4,BrazilBRA,1323,9/15/2016
6,ChileCHI,1284,9/15/2016
7,PortugalPOR,1228,9/15/2016
8,FranceFRA,1188,9/15/2016
9,UruguayURU,1173,9/15/2016
10,WalesWAL,1161,9/15/2016
11,SpainESP,1141,9/15/2016
12,EnglandENG,1130,9/15/2016
13,ItalyITA,1124,9/15/2016
14,CroatiaCRO,1059,9/15/2016
15,MexicoMEX,1057,9/15/2016
16,SwitzerlandSUI,1020,9/15/2016
17,PolandPOL,984,9/15/2016
18,Costa RicaCRC,943,9/15/2016
19,EcuadorECU,917,9/15/2016
20,HungaryHUN,913,9/15/2016
21,TurkeyTUR,885,9/15/2016
22,USAUSA,874,9/15/2016
23,Bosnia and HerzegovinaBIH,863,9/15/2016
24,NetherlandsNED,861,9/15/2016
25,PeruPER,841,9/15/2016
26,AustriaAUT,839,9/15/2016
27,IcelandISL,829,9/15/2016
28,SlovakiaSVK,820,9/15/2016
29,UkraineUKR,799,9/15/2016
30,Northern IrelandNIR,798,9/15/2016
31,Republic of IrelandIRL,774,9/15/2016
32,RomaniaROU,773,9/15/2016
33,Czech RepublicCZE,762,9/15/2016
34,Côte d'IvoireCIV,752,9/15/2016
35,AlgeriaALG,749,9/15/2016
36,ParaguayPAR,720,9/15/2016
37,IR IranIRN,712,9/15/2016
38,RussiaRUS,685,9/15/2016
39,SenegalSEN,684,9/15/2016
40,AlbaniaALB,678,9/15/2016
41,SwedenSWE,677,9/15/2016
42,TunisiaTUN,662,9/15/2016
43,GhanaGHA,658,9/15/2016
44,ScotlandSCO,652,9/15/2016
45,AustraliaAUS,643,9/15/2016
46,DenmarkDEN,637,9/15/2016
47,Korea RepublicKOR,634,9/15/2016
48,GreeceGRE,622,9/15/2016
49,UzbekistanUZB,621,9/15/2016
50,SerbiaSRB,602,9/15/2016
1,ArgentinaARG,1621,10/20/2016
2,GermanyGER,1465,10/20/2016
3,BrazilBRA,1410,10/20/2016
4,BelgiumBEL,1382,10/20/2016
5,ColombiaCOL,1361,10/20/2016
6,ChileCHI,1273,10/20/2016
7,FranceFRA,1271,10/20/2016
8,PortugalPOR,1231,10/20/2016
9,UruguayURU,1175,10/20/2016
10,SpainESP,1168,10/20/2016
11,WalesWAL,1113,10/20/2016
12,EnglandENG,1090,10/20/2016
13,ItalyITA,1082,10/20/2016
14,SwitzerlandSUI,1071,10/20/2016
15,PolandPOL,1029,10/20/2016
16,CroatiaCRO,1027,10/20/2016
17,MexicoMEX,1001,10/20/2016
18,Costa RicaCRC,971,10/20/2016
19,EcuadorECU,932,10/20/2016
20,NetherlandsNED,901,10/20/2016
21,IcelandISL,898,10/20/2016
22,HungaryHUN,891,10/20/2016
23,PeruPER,865,10/20/2016
24,USAUSA,852,10/20/2016
25,TurkeyTUR,843,10/20/2016
26,SlovakiaSVK,840,10/20/2016
27,IR IranIRN,837,10/20/2016
28,Bosnia and HerzegovinaBIH,807,10/20/2016
29,UkraineUKR,803,10/20/2016
30,AustriaAUT,792,10/20/2016
31,Côte d'IvoireCIV,790,10/20/2016
32,SenegalSEN,783,10/20/2016
33,Republic of IrelandIRL,776,10/20/2016
34,RomaniaROU,746,10/20/2016
35,AlgeriaALG,741,10/20/2016
36,Northern IrelandNIR,739,10/20/2016
37,ParaguayPAR,738,10/20/2016
38,TunisiaTUN,721,10/20/2016
39,SwedenSWE,715,10/20/2016
40,Czech RepublicCZE,663,10/20/2016
40,AustraliaAUS,663,10/20/2016
42,GreeceGRE,656,10/20/2016
43,SerbiaSRB,650,10/20/2016
44,Korea RepublicKOR,640,10/20/2016
45,GhanaGHA,628,10/20/2016
46,EgyptEGY,626,10/20/2016
47,AlbaniaALB,619,10/20/2016
48,UzbekistanUZB,617,10/20/2016
49,Congo DRCOD,609,10/20/2016
50,DenmarkDEN,606,10/20/2016
1,ArgentinaARG,1634,11/24/2016
2,BrazilBRA,1544,11/24/2016
3,GermanyGER,1433,11/24/2016
4,ChileCHI,1404,11/24/2016
5,BelgiumBEL,1368,11/24/2016
6,ColombiaCOL,1345,11/24/2016
7,FranceFRA,1305,11/24/2016
8,PortugalPOR,1229,11/24/2016
9,UruguayURU,1187,11/24/2016
10,SpainESP,1166,11/24/2016
11,SwitzerlandSUI,1129,11/24/2016
12,WalesWAL,1121,11/24/2016
13,EnglandENG,1114,11/24/2016
14,CroatiaCRO,1103,11/24/2016
15,PolandPOL,1089,11/24/2016
16,ItalyITA,1083,11/24/2016
17,Costa RicaCRC,1041,11/24/2016
18,MexicoMEX,1012,11/24/2016
19,PeruPER,965,11/24/2016
20,EcuadorECU,890,11/24/2016
21,IcelandISL,889,11/24/2016
22,NetherlandsNED,887,11/24/2016
23,Republic of IrelandIRL,858,11/24/2016
24,TurkeyTUR,851,11/24/2016
25,SlovakiaSVK,837,11/24/2016
26,HungaryHUN,826,11/24/2016
27,Bosnia and HerzegovinaBIH,825,11/24/2016
28,USAUSA,822,11/24/2016
29,UkraineUKR,804,11/24/2016
30,IR IranIRN,797,11/24/2016
31,AustriaAUT,773,11/24/2016
32,Northern IrelandNIR,767,11/24/2016
33,SenegalSEN,755,11/24/2016
34,Côte d'IvoireCIV,738,11/24/2016
34,TunisiaTUN,738,11/24/2016
36,EgyptEGY,719,11/24/2016
37,Korea RepublicKOR,699,11/24/2016
38,AlgeriaALG,692,11/24/2016
39,RomaniaROU,690,11/24/2016
40,ParaguayPAR,684,11/24/2016
41,SwedenSWE,675,11/24/2016
42,GreeceGRE,674,11/24/2016
43,Czech RepublicCZE,671,11/24/2016
44,SerbiaSRB,647,11/24/2016
45,JapanJPN,644,11/24/2016
46,DenmarkDEN,643,11/24/2016
47,Congo DRCOD,638,11/24/2016
48,AustraliaAUS,636,11/24/2016
49,AlbaniaALB,618,11/24/2016
50,Burkina FasoBFA,616,11/24/2016
1,ArgentinaARG,1634,12/22/2016
2,BrazilBRA,1544,12/22/2016
3,GermanyGER,1433,12/22/2016
4,ChileCHI,1404,12/22/2016
5,BelgiumBEL,1368,12/22/2016
6,ColombiaCOL,1345,12/22/2016
7,FranceFRA,1305,12/22/2016
8,PortugalPOR,1229,12/22/2016
9,UruguayURU,1187,12/22/2016
10,SpainESP,1166,12/22/2016
11,SwitzerlandSUI,1129,12/22/2016
12,WalesWAL,1121,12/22/2016
13,EnglandENG,1114,12/22/2016
14,CroatiaCRO,1103,12/22/2016
15,PolandPOL,1087,12/22/2016
16,ItalyITA,1083,12/22/2016
17,Costa RicaCRC,1041,12/22/2016
18,MexicoMEX,1012,12/22/2016
19,PeruPER,965,12/22/2016
20,EcuadorECU,890,12/22/2016
21,IcelandISL,889,12/22/2016
22,NetherlandsNED,887,12/22/2016
23,Republic of IrelandIRL,858,12/22/2016
24,TurkeyTUR,851,12/22/2016
25,SlovakiaSVK,837,12/22/2016
26,HungaryHUN,826,12/22/2016
27,Bosnia and HerzegovinaBIH,825,12/22/2016
28,USAUSA,822,12/22/2016
29,IR IranIRN,814,12/22/2016
30,UkraineUKR,804,12/22/2016
31,AustriaAUT,773,12/22/2016
32,Northern IrelandNIR,767,12/22/2016
33,SenegalSEN,755,12/22/2016
34,Côte d'IvoireCIV,746,12/22/2016
35,TunisiaTUN,738,12/22/2016
36,EgyptEGY,719,12/22/2016
37,Korea RepublicKOR,699,12/22/2016
38,AlgeriaALG,692,12/22/2016
39,RomaniaROU,690,12/22/2016
40,ParaguayPAR,684,12/22/2016
41,SwedenSWE,675,12/22/2016
42,GreeceGRE,674,12/22/2016
43,Czech RepublicCZE,671,12/22/2016
44,SerbiaSRB,647,12/22/2016
45,JapanJPN,644,12/22/2016
46,DenmarkDEN,643,12/22/2016
47,AustraliaAUS,641,12/22/2016
48,Congo DRCOD,638,12/22/2016
49,AlbaniaALB,618,12/22/2016
50,Burkina FasoBFA,617,12/22/2016
1,ArgentinaARG,1634,1/12/2017
2,BrazilBRA,1544,1/12/2017
3,GermanyGER,1433,1/12/2017
4,ChileCHI,1404,1/12/2017
5,BelgiumBEL,1368,1/12/2017
6,ColombiaCOL,1345,1/12/2017
7,FranceFRA,1305,1/12/2017
8,PortugalPOR,1229,1/12/2017
9,UruguayURU,1187,1/12/2017
10,SpainESP,1166,1/12/2017
11,SwitzerlandSUI,1129,1/12/2017
12,WalesWAL,1121,1/12/2017
13,EnglandENG,1114,1/12/2017
14,CroatiaCRO,1103,1/12/2017
15,PolandPOL,1087,1/12/2017
16,ItalyITA,1083,1/12/2017
17,Costa RicaCRC,1041,1/12/2017
18,MexicoMEX,1012,1/12/2017
19,PeruPER,965,1/12/2017
20,EcuadorECU,890,1/12/2017
21,IcelandISL,889,1/12/2017
22,NetherlandsNED,887,1/12/2017
23,Republic of IrelandIRL,858,1/12/2017
24,TurkeyTUR,851,1/12/2017
25,SlovakiaSVK,837,1/12/2017
26,HungaryHUN,826,1/12/2017
27,Bosnia and HerzegovinaBIH,825,1/12/2017
28,USAUSA,822,1/12/2017
29,IR IranIRN,816,1/12/2017
30,UkraineUKR,804,1/12/2017
31,AustriaAUT,773,1/12/2017
32,Northern IrelandNIR,767,1/12/2017
33,SenegalSEN,743,1/12/2017
34,Côte d'IvoireCIV,733,1/12/2017
35,EgyptEGY,726,1/12/2017
36,TunisiaTUN,713,1/12/2017
37,Korea RepublicKOR,699,1/12/2017
38,RomaniaROU,690,1/12/2017
39,AlgeriaALG,687,1/12/2017
40,ParaguayPAR,684,1/12/2017
41,SwedenSWE,675,1/12/2017
42,GreeceGRE,674,1/12/2017
43,Czech RepublicCZE,671,1/12/2017
44,AustraliaAUS,649,1/12/2017
45,SerbiaSRB,647,1/12/2017
46,JapanJPN,644,1/12/2017
47,DenmarkDEN,643,1/12/2017
48,Saudi ArabiaKSA,641,1/12/2017
49,Congo DRCOD,630,1/12/2017
50,NigeriaNGA,619,1/12/2017
1,ArgentinaARG,1635,2/9/2017
2,BrazilBRA,1529,2/9/2017
3,GermanyGER,1433,2/9/2017
4,ChileCHI,1386,2/9/2017
5,BelgiumBEL,1371,2/9/2017
6,FranceFRA,1313,2/9/2017
7,ColombiaCOL,1304,2/9/2017
8,PortugalPOR,1240,2/9/2017
9,UruguayURU,1195,2/9/2017
10,SpainESP,1168,2/9/2017
11,SwitzerlandSUI,1140,2/9/2017
12,WalesWAL,1120,2/9/2017
13,EnglandENG,1113,2/9/2017
14,PolandPOL,1101,2/9/2017
15,ItalyITA,1087,2/9/2017
16,CroatiaCRO,1039,2/9/2017
17,MexicoMEX,1016,2/9/2017
18,PeruPER,965,2/9/2017
19,Costa RicaCRC,948,2/9/2017
20,IcelandISL,899,2/9/2017
21,NetherlandsNED,893,2/9/2017
22,EcuadorECU,887,2/9/2017
23,EgyptEGY,881,2/9/2017
24,TurkeyTUR,857,2/9/2017
25,Republic of IrelandIRL,854,2/9/2017
26,SlovakiaSVK,843,2/9/2017
27,HungaryHUN,830,2/9/2017
28,Bosnia and HerzegovinaBIH,827,2/9/2017
29,USAUSA,818,2/9/2017
30,UkraineUKR,805,2/9/2017
31,SenegalSEN,799,2/9/2017
32,IR IranIRN,798,2/9/2017
33,CameroonCMR,796,2/9/2017
34,AustriaAUT,783,2/9/2017
35,Northern IrelandNIR,772,2/9/2017
36,TunisiaTUN,769,2/9/2017
37,Congo DRCOD,750,2/9/2017
38,Burkina FasoBFA,736,2/9/2017
39,Korea RepublicKOR,691,2/9/2017
40,RomaniaROU,688,2/9/2017
41,NigeriaNGA,686,2/9/2017
42,ParaguayPAR,683,2/9/2017
43,GreeceGRE,682,2/9/2017
44,SwedenSWE,679,2/9/2017
45,GhanaGHA,675,2/9/2017
46,Czech RepublicCZE,669,2/9/2017
47,Côte d'IvoireCIV,662,2/9/2017
48,MoroccoMAR,660,2/9/2017
49,DenmarkDEN,657,2/9/2017
50,AlgeriaALG,644,2/9/2017
1,ArgentinaARG,1644,3/9/2017
2,BrazilBRA,1534,3/9/2017
3,GermanyGER,1443,3/9/2017
4,ChileCHI,1389,3/9/2017
5,BelgiumBEL,1379,3/9/2017
6,FranceFRA,1318,3/9/2017
7,ColombiaCOL,1312,3/9/2017
8,PortugalPOR,1240,3/9/2017
9,UruguayURU,1200,3/9/2017
10,SpainESP,1162,3/9/2017
11,SwitzerlandSUI,1138,3/9/2017
12,PolandPOL,1121,3/9/2017
12,WalesWAL,1121,3/9/2017
14,EnglandENG,1114,3/9/2017
15,ItalyITA,1095,3/9/2017
16,CroatiaCRO,1042,3/9/2017
17,MexicoMEX,1026,3/9/2017
18,PeruPER,965,3/9/2017
19,Costa RicaCRC,953,3/9/2017
20,EgyptEGY,904,3/9/2017
21,NetherlandsNED,900,3/9/2017
22,EcuadorECU,887,3/9/2017
23,IcelandISL,875,3/9/2017
24,Republic of IrelandIRL,860,3/9/2017
25,SlovakiaSVK,853,3/9/2017
26,TurkeyTUR,851,3/9/2017
27,HungaryHUN,834,3/9/2017
28,SenegalSEN,831,3/9/2017
29,Bosnia and HerzegovinaBIH,826,3/9/2017
30,USAUSA,818,3/9/2017
31,UkraineUKR,798,3/9/2017
32,CameroonCMR,795,3/9/2017
33,IR IranIRN,794,3/9/2017
34,AustriaAUT,793,3/9/2017
35,Northern IrelandNIR,786,3/9/2017
36,Burkina FasoBFA,778,3/9/2017
37,TunisiaTUN,774,3/9/2017
38,Congo DRCOD,750,3/9/2017
39,RomaniaROU,703,3/9/2017
40,Korea RepublicKOR,691,3/9/2017
41,NigeriaNGA,685,3/9/2017
42,Czech RepublicCZE,684,3/9/2017
43,ParaguayPAR,683,3/9/2017
43,GhanaGHA,683,3/9/2017
45,SwedenSWE,682,3/9/2017
46,GreeceGRE,679,3/9/2017
47,Côte d'IvoireCIV,663,3/9/2017
48,DenmarkDEN,662,3/9/2017
49,MoroccoMAR,661,3/9/2017
50,AlgeriaALG,645,3/9/2017
1,BrazilBRA,1661,4/6/2017
2,ArgentinaARG,1603,4/6/2017
3,GermanyGER,1464,4/6/2017
4,ChileCHI,1403,4/6/2017
5,ColombiaCOL,1348,4/6/2017
6,FranceFRA,1294,4/6/2017
7,BelgiumBEL,1281,4/6/2017
8,PortugalPOR,1259,4/6/2017
9,SwitzerlandSUI,1212,4/6/2017
10,SpainESP,1204,4/6/2017
11,PolandPOL,1183,4/6/2017
12,ItalyITA,1165,4/6/2017
13,WalesWAL,1119,4/6/2017
14,EnglandENG,1103,4/6/2017
15,UruguayURU,1097,4/6/2017
16,MexicoMEX,1072,4/6/2017
17,PeruPER,1042,4/6/2017
18,CroatiaCRO,1016,4/6/2017
19,EgyptEGY,910,4/6/2017
